sample,feature,value,label
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh01KK-002,0.005040182506736664,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh01KK-117,0.32154770434306273,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh01KK-205,0.5865161253124735,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh02KK-134,0.3900817255565795,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh04KK-017,0.29652991464165146,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh04KK-030,0.21501362959453418,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh05KK-022,0.4813628699514321,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh05KK-170,0.1613361973305385,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh06KK-008-ALT,0.24427862368809788,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh06KK-026,0.9958748182786508,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh08KK-032,0.30915379368152895,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh09KK-153,0.8955584853905978,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh10KK-170,5.48551968614483e-13,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,mh11KK-038,0.21442132652388848,Contaminated
