sample,feature,value,label
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.005040183,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.321547704,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.586516125,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.390081726,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.296529915,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.21501363,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.48136287,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.161336197,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.244278624,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.995874818,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.309153794,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.895558485,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,5.49E-13,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.214421327,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.321318709,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.06726346,Contaminated
NGS41-NA12878-05_90_HQ0209-05_3_NGS41-HG006-S1_4_FFPE2110-S1P_3,smoothened_af,0.285792008,Contaminated
